song_id,song_duration,song_name,song_popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,album_id,album_name,album_release_date,artist_id,artist_name
1BxfuPKGuaTgP7aM0Bbdwr,178426,Cruel Summer,99,0.552,0.702,-5.707,0.157,0.117,2.06e-05,0.105,0.564,169.994,1NAmidJlEaVgA3MpcPFYGq,Lover,2019-08-23,06HL4z0CvFAxyc27GXpf02,Taylor Swift
1Iq8oo9XkmmvCQiGOfORiz,229477,Is It Over Now? (Taylor's Version) (From The Vault),94,0.596,0.658,-7.346,0.036,0.0504,0.0,0.127,0.176,100.012,64LU4c1nfjz1t4VnGhagcg,1989 (Taylor's Version),2023-10-26,06HL4z0CvFAxyc27GXpf02,Taylor Swift
5KD6AEm19QnMbfWpfoOHMl,146436,Now That We Don't Talk (Taylor's Version) (From The Vault),91,0.793,0.512,-9.319,0.0338,0.186,3.81e-05,0.0889,0.0662,109.994,64LU4c1nfjz1t4VnGhagcg,1989 (Taylor's Version),2023-10-26,06HL4z0CvFAxyc27GXpf02,Taylor Swift
0V3wPSX9ygBnCm8psDIegu,200690,Anti-Hero,92,0.637,0.643,-6.571,0.0519,0.13,1.8e-06,0.142,0.533,97.008,151w1FgRZfnKZA9FEcg9Z3,Midnights,2022-10-21,06HL4z0CvFAxyc27GXpf02,Taylor Swift
1dGr1c8CrMLDpV6mPbImSI,221306,Lover,92,0.359,0.543,-7.582,0.0919,0.492,1.58e-05,0.118,0.453,68.534,1NAmidJlEaVgA3MpcPFYGq,Lover,2019-08-23,06HL4z0CvFAxyc27GXpf02,Taylor Swift
3CWq0pAKKTWb0K4yiglDc4,277831,You’re Losing Me (From The Vault),92,0.747,0.391,-13.767,0.052,0.529,0.003,0.111,0.195,102.984,5q3jthpn2h59P7pe2gmAl7,You're Losing Me (From The Vault),2023-11-29,06HL4z0CvFAxyc27GXpf02,Taylor Swift
71BqAINEnezjQfxE4VuJfq,180381,"""Slut!"" (Taylor's Version) (From The Vault)",90,0.629,0.413,-13.178,0.055,0.345,7.62e-05,0.0603,0.306,77.983,64LU4c1nfjz1t4VnGhagcg,1989 (Taylor's Version),2023-10-26,06HL4z0CvFAxyc27GXpf02,Taylor Swift
4R2kfaDFhslZEMJqAFNpdd,239560,cardigan,90,0.613,0.581,-8.588,0.0424,0.537,0.000345,0.25,0.551,130.033,2fenSS68JI1h4Fo296JfGr,folklore,2020-07-24,06HL4z0CvFAxyc27GXpf02,Taylor Swift
3hUxzQpSfdDqwM3ZTFQY0K,261922,august,91,0.532,0.623,-9.208,0.0331,0.538,7.28e-05,0.0925,0.403,89.937,2fenSS68JI1h4Fo296JfGr,folklore,2020-07-24,06HL4z0CvFAxyc27GXpf02,Taylor Swift
1u8c2t2Cy7UBoG4ArRcF5g,231826,Blank Space,89,0.76,0.703,-5.412,0.054,0.103,0.0,0.0913,0.57,95.997,1yGbNOtRIgdIiGHOEBaZWf,1989 (Deluxe),2014-01-01,06HL4z0CvFAxyc27GXpf02,Taylor Swift
