danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0.44989999999999997,0.5375,-8.412,0.03927,0.42542,0.052710599999999996,0.13834,0.26759,102.95070000000001
0.6097,0.5925,-8.1196,0.058929999999999996,0.2564,5.87e-05,0.1224,0.38142,104.94380000000001
0.608,0.592,-8.965,0.0617,0.177,5.64e-05,0.121,0.178,115.034
0.6671,0.6505,-5.8086,0.08369,0.15243299999999999,0.000142339,0.12685,0.54008,115.79360000000001
0.6725,0.5015000000000001,-8.7245,0.02905,0.3655,0.0,0.3625,0.599,96.7735
0.6401,0.503,-9.2113,0.132,0.48267999999999994,0.000176036,0.19122,0.5015,98.8255
0.688,0.404,-11.787,0.0301,0.0175,0.0,0.164,0.182,106.967
0.5673,0.7545,-5.230700000000001,0.03517,0.0465063,0.012665864000000002,0.2333,0.5547,123.7858
0.7262,0.7434000000000001,-7.088800000000001,0.11426,0.123007,0.004386524,0.2716,0.45424999999999993,125.8907
0.6837,0.7564,-6.2643,0.11832000000000001,0.22536499999999998,0.0009280700000000001,0.217,0.4455,122.9816
0.7595,0.8109999999999999,-6.7071,0.06573,0.0190285,0.132143514,0.23593999999999998,0.51836,124.8009
0.5351,0.7097,-5.6566,0.04329,0.24405000000000002,0.004566762,0.17618,0.421,127.3385
0.6403000000000001,0.8053000000000001,-6.0852,0.05069,0.326900753,0.1348577,0.19671,0.6856,110.02590000000001
0.6118,0.4665,-7.1723,0.07881,0.5395,7.64e-07,0.14939,0.40540000000000004,122.24089999999998
0.5726,0.6633,-6.158,0.04337,0.16770000000000002,0.00029445999999999997,0.17122,0.518,144.1018
0.7316,0.8276,-5.7406,0.06011,0.04133,0.147119475,0.17094,0.30182000000000003,133.3382
0.589,0.7192000000000001,-4.5561,0.07685,0.180877,0.003210897,0.19841999999999999,0.3499,120.14860000000002
0.7724,0.7184,-4.7631,0.16570000000000001,0.18236000000000002,0.006752862,0.22644000000000003,0.6357,128.4336
0.493,0.8271000000000001,-4.011699999999999,0.057710000000000004,0.03792409,0.0012928739999999998,0.2639,0.5274,150.123
0.71,0.62,-7.044,0.034,0.664,0.000529,0.22,0.511,119.987
0.5519999999999999,0.6478333333333334,-9.150666666666666,0.03236666666666666,0.34850000000000003,0.0037159483333333333,0.13488333333333333,0.5518333333333333,107.11149999999999
