song_id,song_duration,song_name,song_popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,album_id,album_name,album_release_date,artist_id,artist_name
1cx7kDfiHlvQWwPRNxQrfQ,186018,No One Dies From Love,62,0.659,0.803,-6.632,0.0558,0.0745,1.16e-06,0.251,0.339,121.085,3755MjOhMsW1I9u9mh3xPF,Dirt Femme,2022-10-14,4NHQUGzhtTLFvgF5SZesLK,Tove Lo
4ga4WvRNhMsIL38pkBbnIN,144391,Pressure (feat. Tove Lo),66,0.859,0.558,-8.991,0.0902,0.659,0.324,0.124,0.357,114.978,5s55A56E4N7390TTEUzwKN,Pressure (feat. Tove Lo),2021-02-05,4NHQUGzhtTLFvgF5SZesLK,Martin Garrix
71BJVUm9wse1WBFEGHIFsI,185875,2 Die 4,60,0.816,0.8,-5.705,0.0738,0.028,7.38e-05,0.129,0.533,118.01,3755MjOhMsW1I9u9mh3xPF,Dirt Femme,2022-10-14,4NHQUGzhtTLFvgF5SZesLK,Tove Lo
3tJ4y2Zqx6gM9xOAuFfsSF,199179,Cool Girl,65,0.674,0.694,-7.076,0.109,0.313,7.17e-06,0.0752,0.203,101.993,1tuekzsMZQOuiMejKP6t2Y,Lady Wood,2016-10-28,4NHQUGzhtTLFvgF5SZesLK,Tove Lo
1AZoLkRwhHY5xSL9lGYrlc,178352,Elevator Eyes,60,0.642,0.698,-6.405,0.0482,0.0578,2.14e-06,0.074,0.606,155.904,4HqIEAaytAyzVPnnT0j9j3,Dirt Femme (Extended Cut),2023-08-11,4NHQUGzhtTLFvgF5SZesLK,Tove Lo
4qEoqyPbLYnLOii6mKlIjI,198106,"Determinate - From ""Lemonade Mouth""",66,0.562,0.768,-5.006,0.0488,0.00361,0.0,0.0742,0.218,139.968,6Vsml6sziVKBHxbMEp5wgQ,Lemonade Mouth,2011-01-01,3LjhVl7GzYsza1biQjTpaN,Adam Hicks
3dNjUFt6EFU4Gq6Q5vfJqf,229655,Girls Like Girls,61,0.611,0.701,-5.235,0.0248,0.0109,9.83e-06,0.0994,0.604,142.027,1DBeQGiRdap7iuvuxSx3bD,This Side of Paradise,2015-02-03,3LjhVl7GzYsza1biQjTpaN,Hayley Kiyoko
3EQMcKkWEB0LKLyRuspibc,179612,Demons,56,0.845,0.641,-4.548,0.0444,0.0346,0.00209,0.176,0.528,108.985,6nRu1dwPkZlk467QaV1Q0N,demons,2019-10-11,3LjhVl7GzYsza1biQjTpaN,Hayley Kiyoko
7eAWmk6IDva2iA0q2Wx9Lv,207280,Breakthrough,57,0.638,0.875,-4.123,0.0344,0.0357,0.0,0.0667,0.698,111.999,6Vsml6sziVKBHxbMEp5wgQ,Lemonade Mouth,2011-01-01,3LjhVl7GzYsza1biQjTpaN,Adam Hicks
4bb2UdCvi9LynD4rWvE06T,176600,Turn Up the Music,57,0.531,0.827,-3.7,0.081,0.0957,1.84e-06,0.074,0.801,183.977,6Vsml6sziVKBHxbMEp5wgQ,Lemonade Mouth,2011-01-01,3LjhVl7GzYsza1biQjTpaN,Adam Hicks
1o9kTjiWJ5lTgKonUK6jAU,152511,Cherry (feat. Hayley Kiyoko),56,0.812,0.585,-4.644,0.0615,0.202,0.00216,0.245,0.611,118.037,1h0qJIukGxKxxG4lfT0UOf,Cherry (feat. Hayley Kiyoko),2021-11-17,3LjhVl7GzYsza1biQjTpaN,FLETCHER
5795tkQ1pTLZ2D3jctqhdQ,160306,More Than a Band,56,0.458,0.41,-6.321,0.0254,0.501,0.0,0.262,0.374,155.844,6Vsml6sziVKBHxbMEp5wgQ,Lemonade Mouth,2011-01-01,3LjhVl7GzYsza1biQjTpaN,Bridgit Mendler
5nFyaoBWwwMJ9fv33tZ2MB,219520,What I Need (feat. Kehlani),55,0.633,0.793,-4.126,0.055,0.0537,0.0,0.16,0.414,103.97,2oRkkW6ZudviRBd6mx4CfL,Expectations,2018-03-30,3LjhVl7GzYsza1biQjTpaN,Hayley Kiyoko
3KsjKXNeNMQ56baZH0RFq0,157685,for the girls,53,0.761,0.636,-6.785,0.0632,0.0964,0.0,0.0767,0.598,136.137,2TJlASpVb5tgcEY0RMyZjQ,PANORAMA,2022-07-29,3LjhVl7GzYsza1biQjTpaN,Hayley Kiyoko
5btaVjrLBxTvXNmCv5DrW2,183280,Curious,53,0.788,0.703,-5.986,0.127,0.0753,6.13e-05,0.333,0.442,104.049,2oRkkW6ZudviRBd6mx4CfL,Expectations,2018-03-30,3LjhVl7GzYsza1biQjTpaN,Hayley Kiyoko
